Date,Asset,Average Dividend Yield,Price Earnings Ratio (P/E),Return on Assets,Total Debt to Total Assets,1-Year Volatility,Year,Ticker
2016-12-30,ISRG UW Equity,0.0,34.2073,12.9171,0.0,21.164,2016,ISRG
2017-12-29,ISRG UW Equity,0.0,41.309,10.9412,0.0,19.165,2017,ISRG
2018-12-31,ISRG UW Equity,0.0,48.933,16.5582,0.0,33.412,2018,ISRG
2019-12-31,ISRG UW Equity,0.0,51.4964,15.6918,0.7849,29.14,2019,ISRG
2020-12-31,ISRG UW Equity,0.0,104.4217,10.1483,0.7154,45.724,2020,ISRG
2019-12-31,JD UW Equity,0.0,52.2799,5.197,6.0176,40.659,2019,JD
2020-12-31,JD UW Equity,0.0,79.6102,14.4881,6.0049,48.949,2020,JD
2016-12-30,KHC UW Equity,2.0646,25.5128,2.9542,26.8958,20.924,2016,KHC
2017-12-29,KHC UW Equity,2.7527,22.0505,9.0958,26.2324,16.698,2017,KHC
2018-12-31,KHC UW Equity,4.1189,12.1252,-9.1182,30.1254,25.456,2018,KHC
2019-12-31,KHC UW Equity,7.84,11.1442,1.8886,29.4184,43.375,2019,KHC
2020-12-31,KHC UW Equity,5.2548,12.1707,0.3537,28.9652,43.754,2020,KHC
2015-12-31,KLAC UW Equity,31.4244,14.9626,14.3929,61.6217,31.38,2015,KLAC
2016-12-30,KLAC UW Equity,2.9047,13.2625,17.6486,52.9712,21.415,2016,KLAC
2017-12-29,KLAC UW Equity,2.2165,13.123,14.3636,39.68,25.399,2017,KLAC
2018-12-31,KLAC UW Equity,2.4073,10.5772,16.0525,38.0016,36.468,2018,KLAC
2019-12-31,KLAC UW Equity,2.3396,17.2216,13.3066,38.4651,32.424,2019,KLAC
2020-12-31,KLAC UW Equity,1.9429,25.0257,13.3066,38.4651,60.086,2020,KLAC
2015-12-31,LRCX UW Equity,1.1051,15.2417,8.4521,36.9643,28.631,2015,LRCX
2016-12-30,LRCX UW Equity,1.4141,11.7085,13.9235,23.619,27.669,2016,LRCX
2017-12-29,LRCX UW Equity,1.1011,11.1471,19.3534,19.9911,27.246,2017,LRCX
2018-12-31,LRCX UW Equity,1.4833,9.8058,17.9032,37.8236,40.23,2018,LRCX
2019-12-31,LRCX UW Equity,2.1858,18.7551,16.9557,41.1778,37.359,2019,LRCX
2020-12-31,LRCX UW Equity,1.445,30.2923,16.9557,41.1778,63.799,2020,LRCX
2015-12-31,LULU UW Equity,0.0,28.1836,20.3845,0.0,41.128,2015,LULU
2016-12-30,LULU UW Equity,0.0,30.3106,20.4186,0.0,33.885,2016,LULU
2017-12-29,LULU UW Equity,0.0,30.3604,14.1499,0.0,38.253,2017,LULU
2018-12-31,LULU UW Equity,0.0,33.687,23.6972,0.0,39.13,2018,LULU
2019-12-31,LULU UW Equity,0.0,46.9919,24.0622,22.5505,31.818,2019,LULU
2020-12-31,LULU UW Equity,0.0,70.5943,24.0622,22.5505,52.453,2020,LULU
2015-12-31,MAR UW Equity,1.0211,21.9281,13.2695,67.5271,25.955,2015,MAR
2016-12-30,MAR UW Equity,1.3748,22.8887,5.1618,35.2361,25.698,2016,MAR
2017-12-29,MAR UW Equity,1.1336,30.2097,6.0809,34.5467,16.864,2017,MAR
2018-12-31,MAR UW Equity,1.0037,21.1056,8.0224,39.4455,26.188,2018,MAR
2019-12-31,MAR UW Equity,1.2141,38.3075,5.2229,47.7107,23.472,2019,MAR
2020-12-31,MAR UW Equity,1.8388,33.0052,-1.0733,45.9334,66.462,2020,MAR
2015-12-31,MCHP UW Equity,3.0643,32.8288,6.2819,44.3022,25.901,2015,MCHP
2016-12-30,MCHP UW Equity,2.7127,37.4334,2.4893,38.3835,25.655,2016,MCHP
